No.,Time,Comment,Scramble
62,12.34,,D' U2 R2 B' D2 U2 F' D2 U2 F2 U2 R' U' F U2 F' R U' R2 F2
63,13.44,,U2 B2 L2 U2 L2 U2 L D2 F2 R B L' F' L2 U F2 L' F2 R'
64,12.91,,U2 L' F2 R D2 F' U2 D' L2 B R2 D2 F2 B D2 F' L2 B2 L2
65,9.99,,R2 U' B2 L2 B2 D' R2 D2 U B2 L' B D' B R F' D' R2 B' U
66,12.40,,R2 F L2 F R2 D2 U2 F2 U2 B' L R' B' U B D' R B' L B2
67,10.99,,R2 B' F' L2 D2 B' R2 U2 B R2 B' U F' R U2 L2 R F2 D' U2 R'
68,12.49,,L B2 L2 F' B2 U R' B2 D' F2 B2 L2 D2 F2 D2 L' B2 R2 U2 B'
69,12.44,,F2 R2 U L2 U R2 U L2 B2 D' L2 F R F' R2 F2 L' R2 B2 D F
70,11.95,,D' R F2 U F B2 R' U B' R F D2 F2 U2 L2 F' B L2 B2
71,13.91,,R' F2 R2 F2 D2 L B2 L B2 U2 R B D U F U' L' B F'
72,14.53,,F' D' R2 D2 L2 F2 U' L2 R2 B2 U2 F' L' R2 U2 B2 F' R U2 R2
73,10.01,,B2 D2 F2 U2 L' U2 R2 D2 F2 R F' R' U' F' L2 B2 U' B R D2
74,12.32,,D2 F L B2 L2 U R B2 D F2 L' F2 R' L' U2 L' F2 R' F2
75,11.64,,B2 F2 U' F2 R2 F2 D U2 R2 U' B2 L B' R D' B D F2 D B U2
76,11.43,,U B R2 B' D2 B F' D2 U2 R2 U2 L' U B' R2 U' B R' U L
77,11.76,,B2 L2 F2 U B2 L2 U B2 F2 L2 F' U2 R' B2 F2 R' D' L D2 F'
78,13.04,,U R2 L2 F2 B' L D R B' L F2 L2 F2 U' L2 F2 U2 B2 D2 F2 R2
79,12.89,,B' R2 B' D2 L2 B' U2 F2 L U2 L2 F U' F2 D2 L2 F
80,13.18,,L2 F2 U2 B2 D2 L2 U2 B L2 U L D L2 F' D U' L' F' U
81,10.36,,U2 B2 L' D2 R D2 B2 R2 F2 R F' U B D' L2 R B2 F2 D' L'
82,12.49,,U2 F2 D F2 R2 L' F' L' F U2 R2 L2 F' U2 F' U2 F L2 F2 L
83,13.03,,R2 D2 B2 D2 F' U2 L2 B U2 L2 R' U B' D2 B U2 L R' D' F
84,13.21,,L' F' U' D' B R2 D' L' D B' D2 L2 D2 R D2 B2 D2 R F2 B2
85,10.11,,R2 D2 L' D2 B2 F2 L' D2 B2 L F L B' U' L D F2 R' D'
86,13.77,,U' D F' L' D L' U L' F2 B' R2 B D2 L2 U2 B R2 B' D2 R'
87,13.22,,L2 D F B' L2 B2 R' D2 F B2 U2 B2 L2 U' R2 D R2 F2 D' R2 B'
88,12.04,,D2 B D2 B U2 F' R2 B2 D2 U2 B' U R D' L' R' U2 R' D L' B
89,13.01,,U' F B2 L D R' U' L B' U2 L2 D' B2 U' F2 U' B'
90,15.09,,D' L' F2 R' D2 L2 R D2 B2 D2 B D' R2 U' F R F2
91,9.61,,R D2 L' B2 L' D2 F2 D2 L R F2 B' D2 U' L2 B2 R' F U2 L' D2
